date,text,place
2020-11-25 21:16:47,trauriger rekord in deutschland: so viele corona-todesfälle binnen 24 stunden wie nie https://t.co/l8dkxi7r3d,Stuttgart
2020-11-25 21:09:30,corona-gipfel: maskenpflicht künftig auch auf parkplätzen https://t.co/f4lkuy41ga,Stuttgart
2020-11-25 20:58:01,corona-krise in deutschland: teil-lockdown wird bis anfang januar verlängert https://t.co/zhk27pm4ny,Stuttgart
2020-11-25 20:53:20,"morgen dann in den nachrichten:

jaaaa die super bayern haben wieder gewonnen!!!

(corona maßnahmen werden verlänge… https://t.co/0se6wf861x",Stuttgart
2020-11-25 20:42:02,global sales study: dauerhafte auswirkungen von covid-19 auf den bankenvertrieb https://t.co/mgeewu9gs2,Stuttgart
2020-11-25 20:37:12,trauriger rekord in deutschland: so viele corona-todesfälle binnen 24 stunden wie nie https://t.co/sf57tqovxa,Stuttgart
2020-11-25 20:36:03,"@frauhackenpiep digitalisierung bis corinna 0 komma nix (inkl. jede info auf papier), seit corona schreibt die kita… https://t.co/e38roqix0e",Stuttgart
2020-11-25 20:33:37,merkel verkündet. er haben einen neuen messias. merkel verkündet .... ich fasse es nicht mehr.... https://t.co/f99jb0xwaq,Stuttgart
2020-11-25 20:31:08,"@janwenzel1969 @klippenkuckuck2 ...so so herr klabauterbach, merkels terroristische vereinigung +  corona lügen.pla… https://t.co/48w6behjva",Stuttgart
2020-11-25 20:28:57,"mein ziel für 2021.

mit guten videos auf yt eventuell so viel verdienen können das ich maybe meinen neben job künd… https://t.co/k0h3ajhzwh",Stuttgart
2020-11-25 20:20:39,"@andrevesely @klippenkuckuck2 merkel habe fertig  !!! 
deine lügen plandemie und """" the totalreset "" mit corona lüg… https://t.co/ddyns1nyjg",Stuttgart
2020-11-25 20:15:44,kammerpräsident dr. wolfgang miller im interview mit regio-tv zur diskussion über ein #feuerwerksverbot an silveste… https://t.co/zgixwl1kwo,Stuttgart
2020-11-25 20:14:46,"würde sich jeder so verhalten, als könnte er nach einer corona-infektion einen schweren verlauf haben, sterben oder… https://t.co/krltljmp8j",Stuttgart
2020-11-25 20:14:06,"#eil - #mpk schaut noch @zdf, um sich neueste tipps anzuhören, wie man pr-technisch herausragend beraten am besten… https://t.co/ursdxbqug0",Stuttgart
2020-11-25 20:12:20,@sbahn_stuttgart super und das zu corona. ich bin auf euch angewiesen. da ich kein auto habe.,Stuttgart
2020-11-25 20:08:48,teil-verbot von feuerwerk beschlossen - kein geböller auf belebten straßen und plätzen https://t.co/dazkhv4ucb die… https://t.co/aotp2yiegq,Stuttgart
2020-11-25 19:38:43,ich hab corona und ist es normal das ich jz blut kake?,Stuttgart
2020-11-25 19:37:33,corona-warn-app für iphone und android version 1.7 ist da › die app kann die risikoermittlung mehrmals täglich durc… https://t.co/taz5ifoxv3,Stuttgart
2020-11-25 19:26:09,"bis 2034 werden die beiträge zur rentenversicherung weiter steigen, um trotz sinkendem rentenniveau einen anstieg d… https://t.co/lqcafmmopy",Stuttgart
2020-11-25 19:18:00,noch eine #corona sondersendung und ich spring in die mattscheibe. #giveusabreak https://t.co/gblk3fcake,Stuttgart
2020-11-25 19:16:55,"warum kommt kein ard extra zum tod von maradona? corona ist doch nicht wichtiger..

https://t.co/v5dfxclxz6",Stuttgart
2020-11-25 19:11:37,religion und politik waren noch nie eine gute kombination.  https://t.co/qytf6iyfkz,Stuttgart
2020-11-25 19:11:02,"corona wird nur im privaten bereich übertragen. von dieser regel gibt es nur 3 ausnahmen. 
1. zwischen dem 23.12. u… https://t.co/e4y4muf84p",Stuttgart
2020-11-25 19:09:12,@brauchecuddles möchte mit wenn sich corona gelegt hat ein nostril stechen lassen:),Stuttgart
2020-11-25 18:57:53,"""bald können wir uns richtig freuen: das ende des corona-schlamassels naht"" 

#lockdown2 

#buendnisalarmstuferot… https://t.co/ytavd4igtr",Stuttgart
